;ExternalRiskEstimate;MSinceOldestTradeOpen;AverageMInFile;NumSatisfactoryTrades;NumTrades60Ever2DerogPubRec;NumTrades90Ever2DerogPubRec;PercentTradesNeverDelq;MSinceMostRecentDelq;NumTradesOpeninLast12M;PercentInstallTrades;MSinceMostRecentInqexcl7days;NumInqLast6M;NumInqLast6Mexcl7days;NetFractionRevolvingBurden;NetFractionInstallBurden;NumRevolvingTradesWBalance;NumBank2NatlTradesWHighUtilization;PercentTradesWBalance;MaxDelq2PublicRecLast12M_6;MaxDelq2PublicRecLast12M_8;MaxDelq2PublicRecLast12M_9;MaxDelqEver_2;MaxDelqEver_5;MaxDelqEver_8
9760;;;0.166604159321222;-0.08174843908317461;0.1003985747948324;;;;;;;;;0.19779732890207227;;0.10369965210803535;;;;;;;;
4722;;;;;-0.06930152982830054;-0.06314142597952899;;;;;;;;0.2001998155015085;;0.10221615041521318;;;0.08857636421567687;;;;;
4699;;;;;-0.05791577874808083;;;;;;;-0.040284313055344016;;0.04499122425240155;;-0.08183913297367205;;;-0.08744759769752593;;;;;
3809;;;;;;0.05031331507487897;;0.05895904202264727;;;;0.07467128795537321;;;;-0.07541113511601019;;;0.09314802864753495;;;;;
8402;;;;;;-0.06360771237389772;;0.059943938620525994;;;;0.08604112570958135;;-0.07686578803161953;;;;;0.07676058096880756;;;;;
757;;;0.15459550908949626;0.08552162152586076;;;;;;;;;;-0.15161284478496254;;-0.0872404079584846;;;0.10077118875353408;;;;;
3732;;;-0.12807643877124103;-0.09522234065204153;;;;;;;-0.0622694047260825;;;-0.08234421795958893;;;;;-0.09956185752266941;;;;;
4562;;0.06638620181790934;;0.0875385568963958;;;;;;;;;;-0.15642103317524766;;-0.08040088232647342;;;-0.09053163004882524;;;;;
8877;;;0.15994254186727616;0.093312303886883;;;;;;;;;;-0.15108676575685104;;-0.08433920469944547;;;-0.10791884419246656;;;;;
4993;;;-0.14400292340338525;0.09779060278580955;;;;;;;;;;-0.07669582003297612;;-0.08273472054391688;;;-0.09456505318098615;;;;;
7911;;;;0.08361100975307284;;-0.051729549269532424;;;;;;-0.04836658139400862;;;;-0.07968482576301944;;;-0.08497330241018347;;;;;
2856;;0.06563307138637832;0.16478356041998585;;-0.06883969400409802;;;;;;;;;-0.1478181772989351;;;;;-0.08398892732632354;;;;;
6249;;;;0.10008674895335007;-0.06609629891843496;;;;;;;;;-0.16821844090117383;;-0.07519522399382227;;;-0.09017503473883848;;;;;
6981;;;-0.13966964980858182;0.09417444406334882;;;;;;;;;;-0.16271134301771384;;-0.07797599441582423;;;-0.09353318579605358;;;;;
10000;;;0.16251401726652734;0.09726712752171013;;;;;;;;;;-0.08161346835645517;;-0.07143071552782373;;;-0.08642612593937317;;;;;
9454;;;0.15820879966222617;0.0909468088252286;0.10023847142297541;;;0.06791001299912167;;;;;;;;;;;-0.09026150868277885;;;;;
5631;;;0.15920230683399525;0.08767284347628355;;;;;;;;;;-0.1576001538761526;;-0.08868140988770351;;;0.08177369143413289;;;;;
5995;;;-0.14085203363649923;-0.08719174696812769;;;;;;0.06953349679119039;;;;;;0.09521836097757667;;;0.08167096261380427;;;;;
8660;;;;-0.08830827622597928;;;;;;0.058416633105130414;;0.07536047548790968;;;;-0.07499467415503111;;;-0.08682938530518373;;;;;
